id,name,batter_run_value,batted_ball_events,year,pa,bip,est_ba,est_slg,est_woba,side,competitive_swings,xwoba_pred,xba_pred,xslg_pred,SwingPlus,HitSkillPlus,ImpactPlus,Team,Age,avg_bat_speed_grade,avg_bat_speed_label,avg_bat_speed_importance_pct,avg_bat_speed_shap,swing_tilt_grade,swing_tilt_label,swing_tilt_importance_pct,swing_tilt_shap,attack_angle_grade,attack_angle_label,attack_angle_importance_pct,attack_angle_shap,attack_direction_grade,attack_direction_label,attack_direction_importance_pct,attack_direction_shap,avg_intercept_y_vs_plate_grade,avg_intercept_y_vs_plate_label,avg_intercept_y_vs_plate_importance_pct,avg_intercept_y_vs_plate_shap,avg_intercept_y_vs_batter_grade,avg_intercept_y_vs_batter_label,avg_intercept_y_vs_batter_importance_pct,avg_intercept_y_vs_batter_shap,avg_batter_y_position_grade,avg_batter_y_position_label,avg_batter_y_position_importance_pct,avg_batter_y_position_shap,avg_batter_x_position_grade,avg_batter_x_position_label,avg_batter_x_position_importance_pct,avg_batter_x_position_shap,swing_length_grade,swing_length_label,swing_length_importance_pct,swing_length_shap,avg_foot_sep_grade,avg_foot_sep_label,avg_foot_sep_importance_pct,avg_foot_sep_shap,avg_stance_angle_grade,avg_stance_angle_label,avg_stance_angle_importance_pct,avg_stance_angle_shap
408234,"Cabrera, Miguel",-7.82149105771897,124,2023,370,263,0.247,0.363,0.301,R,285,0.29409092774816,0.24434113943527,0.347832415942403,98.0786310658132,103.354862833856,95.1088895524513,DET,40.0,43.5,Below Avg,48.7,-0.01699,49.9,Average,0.7,-0.000238,50.7,Average,5.1,0.001795,51.1,Average,8.3,0.002904,49.1,Average,6.7,-0.002339,50.0,Average,0.3,-9.5e-05,51.4,Average,10.3,0.003591,51.3,Average,9.7,0.003382,50.2,Average,1.4,0.000503,50.7,Average,4.9,0.00171,49.5,Average,3.9,-0.001368
425794,"Wainwright, Adam",-0.49205092881299,1,2023,2,1,0.131,0.139,0.117,R,4,0.255944842297983,0.234249024111188,0.303879405445954,87.831795254824,99.7890969956227,88.6741802449312,STL,41.0,40.0,Below Avg,36.7,-0.02629,46.7,Average,11.9,-0.008549,46.8,Average,11.7,-0.008379,52.3,Average,8.3,0.005945,49.3,Average,2.6,-0.001847,52.1,Average,7.8,0.005568,47.4,Average,9.7,-0.006957,50.5,Average,1.8,0.001309,48.4,Average,5.9,-0.004231,49.2,Average,3.1,-0.002193,50.1,Average,0.5,0.000332
444482,"Peralta, David",-16.2478704298169,132,2023,422,328,0.274,0.4,0.309,L,341,0.313537652034125,0.27550247085515,0.398386307697004,103.302427648562,114.364845130207,102.509966159729,LAD,35.0,52.1,Average,22.4,0.005534,48.3,Average,18.3,-0.004517,49.8,Average,1.6,-0.000397,51.7,Average,18.3,0.004519,50.6,Average,6.0,0.001479,49.8,Average,2.4,-0.000589,49.9,Average,1.4,-0.000355,50.8,Average,8.7,0.002163,50.3,Average,2.7,0.000676,49.9,Average,1.5,-0.000364,51.6,Average,16.8,0.004154
444482,"Peralta, David",-7.74766608171935,164,2024,260,182,0.258,0.375,0.312,L,446,0.305059630183129,0.253881863130855,0.372399397345897,101.025053787419,106.725809908208,98.7054892417379,SDP,36.0,51.1,Average,10.9,0.002961,47.3,Average,25.9,-0.00705,49.7,Average,2.5,-0.000684,52.1,Average,20.3,0.005542,52.0,Average,19.1,0.005208,49.8,Average,1.5,-0.000401,50.2,Average,1.7,0.000461,48.8,Average,11.9,-0.003239,50.3,Average,2.7,0.000741,49.9,Average,1.2,-0.00034,50.2,Average,2.3,0.000623
446334,"Longoria, Evan",-7.77102887149317,45,2023,237,141,0.23,0.449,0.324,R,111,0.319857944328132,0.233568711098411,0.43630910280016,105.000190253816,99.5487274772048,108.061853501716,ARI,37.0,53.2,Average,22.6,0.008365,53.3,Average,23.6,0.008713,48.7,Average,9.5,-0.003526,50.3,Average,2.3,0.000868,49.9,Average,0.6,-0.000204,50.9,Average,6.4,0.002381,49.8,Average,1.5,-0.000564,49.5,Average,3.4,-0.001264,51.4,Average,9.7,0.003604,51.5,Average,10.5,0.003876,48.6,Average,9.8,-0.003627
453568,"Blackmon, Charlie",-5.16648498828556,109,2023,413,308,0.269,0.406,0.339,L,255,0.320470499578494,0.255473649969999,0.375851777625089,105.164735396563,107.288223133831,99.2109168168846,COL,36.0,41.5,Below Avg,33.9,-0.022453,51.8,Average,7.0,0.004623,52.4,Average,9.5,0.006285,51.7,Average,6.6,0.004387,51.0,Average,4.2,0.002757,49.6,Average,1.5,-0.00102,51.0,Average,4.0,0.002638,50.9,Average,3.4,0.002278,51.4,Average,5.7,0.003787,51.5,Average,6.0,0.003952,54.6,Average,18.1,0.012002
453568,"Blackmon, Charlie",-15.3564825308643,301,2024,499,364,0.249,0.365,0.305,L,760,0.297163626250929,0.24268011582217,0.348924308801893,98.9040221035298,102.767986736438,95.2687423831543,COL,37.0,41.3,Below Avg,48.0,-0.022785,49.7,Average,1.7,-0.000812,51.2,Average,6.4,0.00304,52.6,Average,14.2,0.006726,49.7,Average,1.6,-0.000773,50.2,Average,1.3,0.000626,49.5,Average,3.0,-0.001408,51.6,Average,8.6,0.004097,50.4,Average,2.0,0.000928,51.6,Average,9.0,0.004292,50.8,Average,4.2,0.001998
455117,"Maldonado, Martín",-3.07925118702912,87,2023,407,235,0.187,0.357,0.267,R,307,0.268841846541914,0.190116121269791,0.363217151492899,91.2962001441225,84.1959738256548,97.3612108365308,HOU,36.0,51.9,Average,12.0,0.005104,49.8,Average,1.3,-0.000534,46.0,Average,24.6,-0.010463,49.4,Average,4.0,-0.001689,49.0,Average,6.1,-0.002586,47.5,Average,15.5,-0.006601,47.6,Average,14.9,-0.00636,49.6,Average,2.3,-0.00096,48.0,Average,12.2,-0.005199,49.5,Average,2.9,-0.001248,49.3,Average,4.4,-0.001857
455117,"Maldonado, Martín",-12.0560225912804,73,2024,147,87,0.16,0.288,0.222,R,220,0.238374912392351,0.173858170997759,0.313231935637782,83.1121448679253,78.4516831771547,90.0433882330639,CHW,37.0,48.4,Average,6.8,-0.004265,46.2,Average,15.9,-0.009964,46.8,Average,13.5,-0.008494,48.1,Average,7.9,-0.004943,49.3,Average,3.1,-0.001936,46.9,Average,13.1,-0.008262,47.8,Average,9.1,-0.005722,47.5,Average,10.3,-0.006474,48.1,Average,7.9,-0.004952,48.2,Average,7.4,-0.004649,48.8,Average,5.1,-0.003198
455117,"Maldonado, Martín",-5.10104516452996,80,2025,161,96,0.2,0.366,0.263,R,215,0.269793031751637,0.203451510659942,0.370918727750803,91.5517083713717,88.9076595723957,98.4887195980367,SDP,38.0,50.3,Average,2.6,0.000902,48.8,Average,9.5,-0.003259,47.8,Average,16.9,-0.005837,48.3,Average,13.3,-0.004592,50.2,Average,1.8,0.000617,47.4,Average,19.8,-0.006836,48.0,Average,15.4,-0.00531,49.7,Average,2.5,-0.000862,48.8,Average,9.5,-0.00328,49.2,Average,5.9,-0.00204,49.6,Average,2.7,-0.000945
