IDfg,Season,Name,Team,Age
15640,2025,Aaron Judge,NYY,33
21534,2025,Cal Raleigh,SEA,28
25764,2025,Bobby Witt Jr.,KCR,25
19755,2025,Shohei Ohtani,LAD,30
22799,2025,Geraldo Perdomo,ARI,25
16252,2025,Trea Turner,PHI,32
25878,2025,Corbin Carroll,ARI,24
13510,2025,Jose Ramirez,CLE,32
12916,2025,Francisco Lindor,NYM,31
19709,2025,Fernando Tatis Jr.,SDP,26
20123,2025,Juan Soto,NYM,26
21636,2025,Jeremy Pena,HOU,27
23697,2025,Julio Rodriguez,SEA,24
22715,2025,Maikel Garcia,KCR,25
27769,2025,Pete Crow-Armstrong,CHC,23
12856,2025,George Springer,TOR,35
14161,2025,Byron Buxton,MIN,31
16478,2025,Kyle Schwarber,PHI,32
15998,2025,Cody Bellinger,NYY,29
26289,2025,Gunnar Henderson,BAL,24
21479,2025,Nico Hoerner,CHC,28
14344,2025,Matt Olson,ATL,31
22581,2025,Alejandro Kirk,TOR,26
35110,2025,Nick Kurtz,ATH,22
13613,2025,Ketel Marte,ARI,31
28163,2025,Junior Caminero,TBR,21
18345,2025,Kyle Tucker,CHC,28
20454,2025,Jazz Chisholm Jr.,NYY,27
22186,2025,Brice Turang,MIL,25
26668,2025,Elly De La Cruz,CIN,23
19197,2025,Will Smith,LAD,30
33333,2025,Wyatt Langford,TEX,23
24816,2025,Andy Pages,LAD,24
27464,2025,Dillon Dingler,DET,26
26151,2025,Kyle Stowers,MIA,27
13624,2025,Corey Seager,TEX,31
15986,2025,Willy Adames,SFG,29
5361,2025,Freddie Freeman,LAD,35
25816,2025,Shea Langeliers,ATH,27
19611,2025,Vladimir Guerrero Jr.,TOR,26
24617,2025,Jarren Duran,BOS,28
19612,2025,Bo Bichette,TOR,27
12552,2025,Eugenio Suarez,- - -,33
11493,2025,Manny Machado,SDP,32
24262,2025,Ceddanne Rafaela,BOS,24
16505,2025,Matt Chapman,SFG,32
19251,2025,Pete Alonso,NYM,30
29622,2025,Sal Frelick,MIL,25
20503,2025,William Contreras,MIL,27
18401,2025,Ronald Acuna Jr.,ATL,27
26319,2025,Michael Busch,CHC,27
11579,2025,Bryce Harper,PHI,32
17678,2025,Alex Bregman,BOS,31
33266,2025,Jacob Wilson,ATH,23
27479,2025,Masyn Winn,STL,23
29715,2025,Hunter Goodman,COL,25
27467,2025,Tyler Soderstrom,ATH,23
13611,2025,Mookie Betts,LAD,32
17350,2025,Rafael Devers,- - -,28
29518,2025,James Wood,WSN,22
18314,2025,Dansby Swanson,CHC,31
18564,2025,Trent Grisham,NYY,28
18030,2025,Harrison Bader,- - -,31
31347,2025,Zach Neto,LAA,24
19392,2025,Zach McKinstry,DET,30
12161,2025,Xander Bogaerts,SDP,32
20352,2025,Ernie Clement,TOR,29
24610,2025,Steven Kwan,CLE,27
27478,2025,Patrick Bailey,SFG,26
18839,2025,Josh Naylor,- - -,28
31539,2025,Drake Baldwin,ATL,24
25768,2025,CJ Abrams,WSN,24
26294,2025,Bryson Stott,PHI,27
17128,2025,Ramon Laureano,- - -,30
29576,2025,Ben Rice,NYY,26
16442,2025,Ryan O'Hearn,- - -,31
29490,2025,Jackson Merrill,SDP,22
12927,2025,Brandon Nimmo,NYM,32
12564,2025,Trevor Story,BOS,32
27562,2025,Austin Wells,NYY,25
16578,2025,Yandy Diaz,TBR,33
13301,2025,Max Muncy,LAD,34
25976,2025,Riley Greene,DET,24
17548,2025,Taylor Ward,LAA,31
24679,2025,Brendan Donovan,STL,28
28806,2025,Jackson Chourio,MIL,21
19290,2025,Randy Arozarena,SEA,30
18036,2025,Jake Cronenworth,SDP,31
19522,2025,TJ Friedl,CIN,29
11609,2025,Willson Contreras,STL,33
17919,2025,Ian Happ,CHC,30
15491,2025,J.P. Crawford,SEA,30
31812,2025,Roman Anthony,BOS,21
29712,2025,Colson Montgomery,CHW,23
20599,2025,Ivan Herrera,STL,25
22664,2025,Gabriel Moreno,ARI,25
19722,2025,Carlos Narvaez,BOS,26
13152,2025,Jorge Polanco,SEA,31
30116,2025,Seiya Suzuki,CHC,30
25477,2025,Isaac Collins,MIL,27
13620,2025,Carson Kelly,CHC,30
16997,2025,Gleyber Torres,DET,28
14162,2025,Carlos Correa,- - -,30
29646,2025,Caleb Durbin,MIL,25
21837,2025,Jonathan Aranda,TBR,27
20036,2025,Isaac Paredes,HOU,26
22266,2025,Xavier Edwards,MIA,25
19627,2025,Brent Rooker,ATH,30
11477,2025,Christian Yelich,MIL,33
23772,2025,Wilyer Abreu,BOS,26
20202,2025,Brandon Marsh,PHI,27
33824,2025,Jung Hoo Lee,SFG,26
27465,2025,Spencer Torkelson,DET,25
26123,2025,Brett Baty,NYM,25
14854,2025,Mike Yastrzemski,- - -,34
20308,2025,Jake Meyers,HOU,29
19608,2025,Otto Lopez,MIA,26
31370,2025,Jakob Marsee,MIA,24
19918,2025,Daulton Varsho,TOR,28
24598,2025,Addison Barger,TOR,25
16530,2025,Mauricio Dubon,HOU,30
27615,2025,Alec Burleson,STL,26
13897,2025,Tyler Heineman,TOR,34
5417,2025,Jose Altuve,HOU,35
24618,2025,Ryan Jeffers,MIN,28
15362,2025,Jeff McNeil,NYM,33
11739,2025,J.T. Realmuto,PHI,34
23401,2025,Jose Caballero,- - -,28
12533,2025,Marcus Semien,TEX,34
22542,2025,Lawrence Butler,ATH,24
19352,2025,Sean Murphy,ATL,30
4949,2025,Giancarlo Stanton,NYY,35
33549,2025,Kyle Teel,CHW,23
27815,2025,Jordan Westburg,BAL,26
15112,2025,Ryan McMahon,- - -,30
10155,2025,Mike Trout,LAA,33
26121,2025,Francisco Alvarez,NYM,23
18123,2025,Nathan Lukes,TOR,30
26396,2025,Josh Smith,TEX,27
26202,2025,Jake Mangum,TBR,29
17620,2025,Myles Straw,TOR,30
26477,2025,Spencer Horwitz,PIT,27
18882,2025,Brandon Lowe,TBR,30
21618,2025,Alec Bohm,PHI,28
22857,2025,Wenceel Perez,DET,25
18360,2025,Austin Riley,ATL,28
7802,2025,Miguel Rojas,LAD,36
26299,2025,Josh Jung,TEX,27
31349,2025,Victor Scott II,STL,24
33321,2025,Luke Keaschall,MIN,22
17022,2025,Edmundo Sosa,PHI,29
27899,2025,Colt Keith,DET,23
23003,2025,Yainer Diaz,HOU,26
21711,2025,Oneil Cruz,PIT,26
25782,2025,Pedro Pages,STL,26
15905,2025,Luis Torrens,NYM,29
26438,2025,Dominic Canzone,SEA,27
21562,2025,Romy Gonzalez,BOS,28
27676,2025,Vinnie Pasquantino,KCR,27
25961,2025,Kerry Carpenter,DET,27
25807,2025,Jared Triolo,PIT,27
21865,2025,Bo Naylor,CLE,25
29995,2025,Daylen Lile,WSN,22
26466,2025,Matt Wallner,MIN,27
15274,2025,Mike Tauchman,CHW,34
33189,2025,Nolan Schanuel,LAA,23
27790,2025,Evan Carter,TEX,22
20572,2025,Kody Clemens,- - -,29
33322,2025,Matt Shaw,CHC,23
12979,2025,Javier Baez,DET,32
25931,2025,Michael Harris II,ATL,24
29695,2025,Matt McLain,CIN,25
18577,2025,Ke'Bryan Hayes,- - -,28
25493,2025,Joey Ortiz,MIL,26
23565,2025,Davis Schneider,TOR,26
10815,2025,Jurickson Profar,ATL,32
24878,2025,Heriberto Hernandez,MIA,25
19901,2025,Gavin Sheets,SDP,29
22896,2025,Lenyn Sosa,CHW,25
16535,2025,Danny Jansen,- - -,30
20178,2025,Miguel Vargas,CHW,25
21524,2025,Joey Bart,PIT,28
17929,2025,Cedric Mullins,- - -,30
16556,2025,Ozzie Albies,ATL,28
20043,2025,Luis Robert Jr.,CHW,27
31580,2025,Chase Meidroth,CHW,23
29858,2025,Denzel Clarke,ATH,25
25180,2025,Daniel Schneemann,CLE,28
20220,2025,Jo Adell,LAA,26
29794,2025,Kyle Manzardo,CLE,24
19363,2025,Austin Hays,CIN,29
10324,2025,Marcell Ozuna,ATL,34
31781,2025,Jackson Holliday,BAL,21
26288,2025,Adley Rutschman,BAL,27
19470,2025,Tommy Edman,LAD,30
12976,2025,Austin Hedges,CLE,32
18872,2025,Jahmai Jones,DET,27
15878,2025,Miguel Andujar,- - -,30
17276,2025,Alex Jackson,BAL,29
26517,2025,Noelvi Marte,CIN,23
17988,2025,Tyler Stephenson,CIN,28
22515,2025,Heliot Ramos,SFG,25
19326,2025,Bryan Reynolds,PIT,30
13419,2025,Christian Walker,HOU,34
18795,2025,Ramon Urias,- - -,31
21614,2025,Kyle Isbel,KCR,28
22563,2025,Gabriel Arias,CLE,25
15271,2025,Austin Wynns,- - -,34
13770,2025,Rob Refsnyder,BOS,34
27462,2025,Austin Martin,MIN,26
26323,2025,Spencer Steer,CIN,27
23789,2025,Blaze Alexander,ARI,26
19913,2025,Jesus Sanchez,- - -,27
29844,2025,Liam Hicks,MIA,26
5517,2025,Kyle Higashioka,TEX,35
31363,2025,Graham Pauley,MIA,24
