id,name,swing_length,batter_run_value,batted_ball_events,year,pa,bip,est_ba,est_slg,est_woba,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,competitive_swings,avg_batter_y_position,avg_batter_x_position,avg_foot_sep,avg_stance_angle,avg_intercept_y_vs_batter,avg_intercept_y_vs_plate
519317,"Stanton, Giancarlo",8.504712883,-6.726460946003543,131,2023,415,248,0.216,0.458,0.323,R,80.981809819,27.70528451205331,8.370458148062097,-0.05699058438342908,386,25.94791204204344,34.480968354393916,38.73903998460476,17.884628328207754,26.19068416132501,0.24277211928156991
666176,"Adell, Jo",7.924239796,-2.565654188098011,24,2023,62,33,0.162,0.324,0.235,R,79.213932245,31.50115375805715,6.786876645040861,-4.9377841239522,98,26.064919291193632,29.89542428266542,34.13139842625627,-3.4041085315267536,27.106441439931984,1.0415221487383504
672744,"Canario, Alexander",8.453656389,0.35511370461093583,9,2023,17,9,0.226,0.367,0.251,R,78.816135556,33.10767579021,14.323728406939685,-2.917801724497335,36,32.357333173497906,27.32498005492196,20.86476035193499,-28.282141175050256,30.581314229792735,-1.7760189437051703
691406,"Caminero, Junior",8.408043208,-2.6280794286046976,22,2023,36,26,0.21,0.353,0.265,R,78.206980377,29.056840775286087,6.1931450718754375,-3.680229257256419,53,27.800493346033804,29.33316514387571,27.631585763713577,-34.793187428940854,33.552718052959214,5.752224706925407
614173,"Cordero, Franchy",7.653464,1.7344426240573585,7,2023,71,44,0.217,0.44,0.288,L,78.068596,34.44060141874062,11.763081435148,-6.818323522713127,15,27.388355363641992,26.32940582018269,36.20958073113152,-1.4118678985072266,32.34111012341693,4.952754759774943
670242,"Wallner, Matt",7.46482651,-2.843715487928327,110,2023,254,133,0.233,0.517,0.374,L,77.402933756,34.2401724368132,13.354929552651209,-1.127491243325897,386,26.90051520551439,31.697891078598513,30.3753205544925,-34.78676787497902,35.373420431061106,8.472905225546706
660271,"Ohtani, Shohei",7.884165643,11.587780468998416,89,2023,599,357,0.295,0.637,0.427,L,77.382653137,35.27162391143752,12.61362027773846,-2.0329037939847048,322,30.109710503365296,28.7382363207567,31.7219110287885,-7.9051096355919235,27.52291685246952,-2.586793650895784
660670,"Acuña Jr., Ronald",7.385042646,9.783191007711295,222,2023,735,562,0.357,0.66,0.46,R,77.302990021,34.5822861061299,6.76488760977399,5.193785222789868,481,28.83792996341523,27.94305408782349,34.507478817554386,-12.079899893636505,30.5998792712028,1.7619493077875663
677594,"Rodríguez, Julio",7.950040274,12.118274895186048,199,2023,714,481,0.274,0.475,0.345,R,77.171916019,33.441041369063946,7.823290737469005,-4.647368278327093,515,19.625652988879764,28.32528679143592,25.154006200761916,4.209935958709709,35.4115500413769,15.785897052497122
656941,"Schwarber, Kyle",7.873779225,1.9499798500477468,151,2023,720,373,0.22,0.485,0.364,L,77.100348834,29.66072095081005,13.09220564797208,-7.329143959611321,429,26.40786441716112,26.717641325544157,30.53182177400613,-6.062381085047566,31.92483339865147,5.516968981490353
592518,"Machado, Manny",7.741457511,-7.618761954165216,183,2023,601,440,0.254,0.458,0.332,R,76.729379314,25.36655756831655,6.281164070003859,-2.882300175690623,452,23.084127645786793,31.54137905899559,27.615415922396355,-42.28875980179607,32.00718775321981,8.923060107433017
670541,"Alvarez, Yordan",7.643810878,4.653706416544747,165,2023,496,322,0.297,0.623,0.435,L,76.710228786,34.327427860348465,10.056780456096003,-5.705844868695604,379,26.43800090897609,27.56155359090984,42.035995026984146,-6.285341496775798,35.48218616363447,9.044185254658377
682829,"De La Cruz, Elly",7.492709958,-14.940185824542072,148,2023,427,246,0.24,0.391,0.303,L,NA,NA,NA,NA,NA,27.73226526538393,29.298993618807845,31.18707534449393,-4.382938555986285,34.72887916736761,6.996613901983678
682829,"De La Cruz, Elly",7.492709958,-14.940185824542072,148,2023,427,246,0.24,0.391,0.303,R,76.650126299,36.41418408951957,6.2593774257050985,1.7345282943566018,481,29.14969961304144,30.64874072544695,34.04800166092143,1.2872138020562205,34.05193160260734,4.902231989565901
621550,"Wisdom, Patrick",8.031838244,3.8434186520774736,46,2023,302,159,0.218,0.498,0.339,R,76.635899545,32.08435054282762,14.751548433340904,-6.510163494375065,132,28.408309528090395,30.566099251905396,34.54482645139332,-3.166649664214838,31.81205325670615,3.4037437286157566
592450,"Judge, Aaron",8.084411124,0.5073368326474919,118,2023,458,240,0.289,0.712,0.461,R,76.401896103,42.33051599948869,15.8088849740868,-5.298127610885986,349,31.493701948332063,33.851339413711244,34.01011921291074,-20.08394030065416,31.873416691375752,0.37971474304368774
663624,"Mountcastle, Ryan",7.372378113,-0.04788305786629021,135,2023,470,323,0.273,0.503,0.356,R,76.348456955,37.796187756590626,4.427144110741148,3.3698678029199325,358,27.454692227037285,30.105662167253644,30.353669946104752,1.2744331471993713,26.423988952933993,-1.0307032741032942
663586,"Riley, Austin",7.462327236,10.038882503803215,182,2023,715,475,0.273,0.516,0.365,R,76.268195195,33.85518947000326,9.684684616880311,-2.703813506005815,539,30.16617896217552,28.541431251661685,29.805870863483573,-8.560571670657678,34.12273315726055,3.956554195085035
621439,"Buxton, Byron",8.000030638,-3.2807108693652944,24,2023,347,199,0.212,0.425,0.316,R,76.216353298,33.76873366824613,16.30058277156709,-8.783198707481699,94,24.430968891593498,26.938119056385553,33.263603704324375,6.179707910472098,29.18735458195123,4.756385690357737
575929,"Contreras, Willson",7.689032554,6.54182095307714,101,2023,495,320,0.279,0.49,0.373,R,76.207965233,31.061631350060093,10.33451116900564,-3.075143565014158,279,15.555053343790515,31.039864767760665,27.103799866164724,-7.0745902613146106,30.451616627333916,14.896563283543395
595751,"Alfaro, Jorge",7.39150913,-3.0710013776755742,11,2023,52,33,0.209,0.339,0.27,R,76.126087826,34.01319460260187,3.6941902457610447,2.8801102540297565,23,27.36799851226623,29.30432972197609,30.041263510570108,-16.298313727511193,28.835862026564495,1.467863514298265
669394,"Burger, Jake",7.662833865,4.394314755131639,176,2023,540,347,0.27,0.512,0.359,R,76.036329489,24.30667227063831,9.300986598758962,-8.36754792518236,489,22.14489371259907,30.984359949056504,23.69421843382927,1.8200806234826117,33.61454353969532,11.469649827096248
641525,"Dixon, Brandon",7.612604615,-1.0954402704410369,4,2023,86,50,0.185,0.302,0.238,R,75.874809231,31.406370332161465,6.419549274879993,-4.498124810043703,13,31.29033566903217,29.184388597614618,22.480650495765538,-8.928298309282654,31.39735653445323,0.1070208654210656
673357,"Robert Jr., Luis",7.950615873,2.514031027263468,136,2023,595,376,0.262,0.518,0.35,R,75.851891837,35.24564555642823,11.882823641673577,-6.188900397717347,441,30.164053454513898,26.43469047702182,31.89167650298004,-10.617870307217968,29.29412821244977,-0.8699252420641266
671213,"Casas, Triston",7.841253486,4.967529449310782,124,2023,502,305,0.253,0.5,0.37,L,75.828404407,38.295226463943976,13.535086976792108,-2.1947259546690137,329,33.259845926328175,29.340510972641624,18.384866542871908,1.1938375218887347,34.03564935968717,0.7758034333590038
683146,"Baty, Brett",7.660875806,-11.976816248689742,91,2023,389,246,0.237,0.382,0.3,L,75.803635282,37.65801029979539,9.2048655040563,1.242669731945902,248,27.114337484563887,32.39524424314732,33.24274643800857,0.0946581610115903,27.486583598088764,0.3722461135248811
624585,"Soler, Jorge",7.789222563,-0.643029858911712,121,2023,580,367,0.262,0.532,0.374,R,75.775713323,34.12625225964069,10.098878080928106,-5.776031795296435,322,27.836485945680423,30.67980074644763,39.83340869172238,-18.714134279738268,27.673494485118457,-0.16299146056196598
666624,"Morel, Christopher",7.958357616,-7.534870829657981,129,2023,429,258,0.244,0.485,0.34,R,75.734129635,28.564656604297426,13.886153033231654,-6.775769469741669,411,27.621095312848844,27.002948189311223,22.207013173622716,-19.172439014434833,34.46510871948355,6.84401340663471
624413,"Alonso, Pete",7.398825117,-3.7903147578691434,171,2023,658,421,0.246,0.527,0.368,R,75.696050211,31.465111038228383,13.363348298449573,-7.841701230718267,473,24.22975410490122,29.61167088431619,34.781621466802,5.443336219647131,32.8500359702939,8.620281865392684
670042,"Raley, Luke",7.447972438,-10.979841711010137,86,2023,406,232,0.225,0.437,0.327,L,75.695205689,28.758879239746168,14.592746161702282,-7.735150967455363,283,23.89603414765278,27.43156002462323,27.840674143493768,-8.583271415445347,33.1658958418574,9.269861694204614
696100,"Goodman, Hunter",7.148853689,-4.99868582795903,43,2023,77,48,0.211,0.354,0.263,R,75.666273361,23.8050861848331,9.549938370482252,-6.653230251026521,122,27.243764375774937,31.29511264780919,22.295927475754496,-24.96291838509676,42.01599748818795,14.77223311241302
682985,"Greene, Riley",7.179070264,-3.288222528039277,109,2023,416,266,0.289,0.499,0.365,L,75.521846557,43.243260849853755,12.453178356740445,3.013129961018828,305,25.53736175878547,23.136064503800696,22.869028539194176,-21.376180051853034,31.29343196906431,5.756070210278841
656305,"Chapman, Matt",7.583156886,-6.201861565639808,113,2023,581,346,0.23,0.457,0.337,R,75.514195045,27.5196946592834,8.786556983546776,-3.296089385919425,335,30.97888162423214,30.026760404165675,26.44281373341184,-5.094946865688576,26.22694015042528,-4.751941473806856
693049,"Colás, Oscar",7.724788587,-13.258113551492285,97,2023,263,178,0.225,0.341,0.264,L,75.465699604,33.29359221923023,7.48192790385098,-3.876068442261558,278,27.851532071183076,26.167602158617555,34.17574269896481,-13.373376124628258,31.3468796817977,3.4953476106146244
547180,"Harper, Bryce",7.375997084,12.057439833265544,169,2023,546,342,0.29,0.53,0.399,L,75.463332291,36.034182436206976,11.97236726862592,0.02138423382504006,467,23.22567638671273,28.55839315043582,32.36714843100911,-12.359672646061712,31.42361348127176,8.19793709455902
665489,"Guerrero Jr., Vladimir",7.574440557,-5.093140551162508,195,2023,682,506,0.299,0.501,0.378,R,75.461952838,27.54159691511917,1.917259886745962,-5.631255616581523,451,29.377402518174907,28.561032035474497,29.731451746553734,-11.386825138825044,34.03389331906938,4.656490800894471
683002,"Henderson, Gunnar",7.243532865,-3.1473010031801216,217,2023,622,404,0.261,0.472,0.346,L,75.405001875,32.980169011975384,10.095129131812422,2.925640869745795,528,26.46611664429008,24.486377165985942,33.72757271353912,-5.927976740554284,31.386247154595026,4.920130510304943
691176,"Domínguez, Jasson",7.773650962,1.202958211190325,20,2023,33,23,0.283,0.52,0.36,L,NA,NA,NA,NA,NA,26.080898412734804,23.092180752427865,22.947247374843,-23.25880966473494,33.29194859987031,7.21105018713551
691176,"Domínguez, Jasson",7.773650962,1.202958211190325,20,2023,33,23,0.283,0.52,0.36,R,75.300207692,31.44172961559647,8.241027528620235,-4.799037996725933,52,24.830415429408763,25.805498997653203,22.392960429241157,-25.404377164613557,32.30389923017469,7.4734838007659246
668904,"Lewis, Royce",7.82585119,5.067709565718928,83,2023,239,162,0.262,0.478,0.348,R,75.292221905,25.57679205962254,10.55075145341134,-5.680260864794738,210,21.61017555978465,28.136593525387323,30.156421600458895,-5.75358249346071,29.619717590034742,8.009542030250092
660707,"Montero, Elehuris",7.657539284,2.543980972040762,106,2023,307,176,0.2,0.313,0.253,R,75.286996971,35.39883492653843,9.12430049194186,-13.96461379053366,350,30.220299520053153,24.40207613562095,36.59283274517816,-7.645740171088794,36.71599946365977,6.495699943606624
656180,"Adams, Riley",8.138414153,1.8712419337631303,47,2023,158,100,0.227,0.353,0.283,R,75.236097966,35.68799898149385,8.904132430736592,-5.039939623781191,118,28.660592500832745,28.356312618196657,42.54093911714888,-15.798620963656372,28.743572636036745,0.08298013520400317
650391,"Jiménez, Eloy",7.343724356,-7.339990449949357,174,2023,489,365,0.258,0.426,0.314,R,75.234561831,24.71848630479978,5.9580406316181875,-4.079297517354502,366,15.42086730638882,32.13446168958881,38.648891823193864,-28.74703910063524,29.197518330459,13.776651024070173
669911,"Toglia, Michael",7.603063256,-10.202101972380737,72,2023,152,91,0.203,0.313,0.255,L,NA,NA,NA,NA,NA,27.741632630202556,30.862434018317103,29.56197566129774,-22.53140044422718,29.513322700374363,1.7716900701718106
669911,"Toglia, Michael",7.603063256,-10.202101972380737,72,2023,152,91,0.203,0.313,0.255,R,75.211448571,34.42456619449525,12.521415919529597,-4.6757747946795805,217,24.31277484384313,30.50539408692049,31.21462717340099,-17.878627097056153,34.10491596395812,9.792141120114993
663550,"Cabbage, Trey",7.818276466,-4.538534057660037,26,2023,56,28,0.14,0.239,0.179,L,75.200544138,35.065225832457614,11.0040164548012,-3.4598162290270333,116,26.402894652039027,28.729592487887388,34.84300487425741,-9.268328724939,29.744755301387897,3.341860649348872
677951,"Witt Jr., Bobby",7.044116539,2.2291304279318283,223,2023,694,529,0.294,0.533,0.369,R,75.136058248,30.82204987455637,5.9053514237983755,-0.6144985750646508,525,28.602080541875637,25.531067180507144,28.957022003655844,-8.573979465330009,30.118388663285696,1.5163081214100576
641343,"Bauers, Jake",7.812485472,-7.554333146368563,56,2023,272,150,0.23,0.48,0.336,L,75.095624623,35.3489456694626,14.094254759905056,-4.238676595736374,212,30.16307360673235,29.073232078934,29.27804609248227,-4.604675960053074,31.662344949387546,1.499271342655186
679529,"Torkelson, Spencer",7.620077913,-2.2941081137160633,184,2023,684,440,0.251,0.484,0.349,R,75.037006262,31.557462001343584,10.964167424391986,-8.281770750957914,527,27.234975016578467,25.978934942374167,36.175491718702325,-3.427154097572465,31.568964962741855,4.333989946163387
671218,"Ramos, Heliot",7.230143448,-2.8510045750269284,17,2023,60,36,0.193,0.345,0.259,R,75.021215667,31.56370815225986,9.391664740659165,-0.48914295408273856,60,25.83241330652998,27.83000473396013,31.442063393078023,-8.070446213683223,30.43077165591577,4.598358349385786
542303,"Ozuna, Marcell",7.471584111,19.18299563560792,181,2023,592,398,0.28,0.577,0.393,R,75.007839041,36.685663301340306,12.984199871903275,-1.3592795544391054,469,35.17191016152421,27.3313725973025,30.033300545623916,-21.730726551243617,32.54092406508001,-2.630986096444199
663728,"Raleigh, Cal",7.825433427,1.2315179553302902,158,2023,569,356,0.233,0.466,0.33,L,NA,NA,NA,NA,NA,31.1617783767211,24.377040195184904,31.315131016639228,-6.666760294564734,34.93337593094988,3.7715975542287863
663728,"Raleigh, Cal",7.825433427,1.2315179553302902,158,2023,569,356,0.233,0.466,0.33,R,74.997748962,31.14103357205926,16.386854660051622,-7.533976958951866,501,26.986641501083945,26.92501464662394,31.954061274461388,-7.399532109045431,36.32011280430712,9.333471303223169
572233,"Walker, Christian",7.447339053,-9.516301707685018,180,2023,661,463,0.251,0.46,0.339,R,74.956259632,30.836991860161874,8.19876345776009,-4.710943587268113,489,29.376176357716133,26.493993635568863,24.655822879292415,-12.32214779903307,30.955525772382572,1.5793494146664455
691023,"Walker, Jordan",7.825969494,-1.4200403611914418,159,2023,465,318,0.267,0.426,0.332,R,74.877321425,36.57036644087477,5.3254686968086595,-7.787733869251298,421,32.270097360915805,26.830673288058694,17.122353835097464,-42.980369517392965,33.41110813015175,1.1410107692359333
672356,"Arias, Gabriel",7.495254864,-10.30818049703066,110,2023,345,203,0.23,0.407,0.304,R,74.869622174,29.272242486394266,6.962523753550298,4.070175506067493,368,29.522638878587117,31.945815052186095,33.696746664208206,-3.3338786835707213,30.597063749643468,1.0744248710563589
621566,"Olson, Matt",7.294126211,5.213537964867671,180,2023,720,445,0.264,0.558,0.392,L,74.842343578,35.3815806224925,8.290296535487872,-0.6113134883953135,517,29.65274889259433,29.513548570933132,30.392861299164068,-8.70204151444957,34.74143477772559,5.088685885131242
621043,"Correa, Carlos",7.270004493,-5.062808340522224,148,2023,580,386,0.25,0.417,0.327,R,74.809011561,33.218420344215474,8.993019606027785,-1.5193969638907203,346,25.483972235486007,29.77591345989824,34.79363690886861,-1.594495186515719,28.37264915276801,2.8886769172820026
677595,"Mauricio, Ronny",7.702141081,-9.506592986098358,62,2023,108,70,0.238,0.359,0.284,L,NA,NA,NA,NA,NA,28.784557960478907,27.952709937148885,27.587552252838748,-23.60199271325061,36.69508918040103,7.9105312199221185
677595,"Mauricio, Ronny",7.702141081,-9.506592986098358,62,2023,108,70,0.238,0.359,0.284,R,74.741519358,26.08356983061887,7.960325187830644,-8.27405735187115,187,29.013453386678453,29.45178395611074,28.73416198719946,-22.97154374666521,36.89790626204399,7.884452875365538
656448,"Garrett, Stone",7.936643557,-2.067377644912719,36,2023,271,157,0.263,0.441,0.345,R,74.710348133,31.229429582538568,11.249088941524898,-6.522727602193625,150,35.27617330378993,31.48040915249953,32.82109358183832,-8.454968897096942,25.111659083355377,-10.164514220434558
592669,"Renfroe, Hunter",7.893200288,-10.383356492859397,120,2023,548,376,0.225,0.366,0.289,R,74.677507607,26.92335994733486,8.704068168921872,-9.53572929643068,351,29.31358443391683,31.088810664067186,27.73013389252265,-17.55726677086798,36.70193214386944,7.388347709952622
665742,"Soto, Juan",7.269730909,9.707355939936956,192,2023,708,445,0.284,0.536,0.407,L,74.629425418,26.589534778165017,9.307591442376117,4.252376834329837,419,25.083925492747134,30.753647895866404,44.73258180467413,-8.896110336134479,23.401517795102585,-1.6824076976445488
669127,"Langeliers, Shea",7.236116609,-3.645331959668435,117,2023,490,308,0.211,0.423,0.297,R,74.627049046,29.632423373031767,12.350590807347553,-4.330580230505574,346,27.35967384794748,29.753060160516664,29.88538176217069,-15.64593882010161,36.70898654957502,9.34931270162754
662139,"Varsho, Daulton",7.78820754,-11.23759905067329,132,2023,581,396,0.232,0.394,0.302,L,74.55266246,29.38815828249793,10.386625151231362,-4.154618679376896,378,28.358035936092804,27.61329521167892,34.715533624715164,-0.3143906814649261,26.935833693927663,-1.4222022421651417
642133,"Tellez, Rowdy",7.935559167,-3.65987826644772,38,2023,351,230,0.238,0.374,0.306,L,74.545603469,28.73655075499246,5.144483357400218,-7.235608435820288,98,27.174690754423015,26.96609470772488,26.314931707693063,-2.8916651267442464,33.72874246509498,6.55405171067197
682626,"Alvarez, Francisco",7.375122568,-14.051735548468574,110,2023,423,273,0.209,0.422,0.305,R,74.533528658,29.116828969629495,8.518145434472526,-2.664312483720253,298,27.44016769588719,26.968526930007545,36.656337972625614,-11.83174610969987,28.270977897678183,0.8308102017909902
